Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Returns,SMA_5,SMA_20,EMA_12,RSI_14,Volatility_20,Volume_Change,High_Low_Range,Target
MSFT,59265,2020-05-18,185.75,186.2,183.96,184.91,175.63,35306620,,7583440247.0,0.009554487879449569,182.172,178.52,181.52300321031436,69.681960375391,0.02130335185701481,-0.24251596993991598,2.2399999999999807,0
MSFT,59265,2020-05-19,185.03,186.6,183.49,183.63,174.42,26799116,,7583440247.0,-0.006922286517765386,182.39600000000002,179.3105,181.8471565625737,59.68144909431602,0.01877487436555018,-0.24096059039352957,3.109999999999985,1
MSFT,59265,2020-05-20,184.81,185.85,183.94,185.66,176.83,31261334,0.51,7583440247.0,0.01105483853400857,183.578,179.9175,182.43374786063927,59.993802293151504,0.017553113837018117,0.1665061638600318,1.9099999999999966,0
MSFT,59265,2020-05-21,185.4,186.67,183.29,183.43,174.71,29032741,,7583440247.0,-0.012011203274803317,184.158,180.51799999999997,182.58701742054092,64.83590087073009,0.01754885210298436,-0.07128912029153966,3.3799999999999955,1
MSFT,59265,2020-05-22,183.19,184.46,182.54,183.51,174.78,20826898,,7583440247.0,0.00043613367497119526,184.22799999999998,180.966,182.7290147404577,59.096221269964914,0.017211192187268805,-0.2826410017572919,1.920000000000016,0
MSFT,59265,2020-05-26,186.34,186.5,181.1,181.57,172.93,36073609,,7583440247.0,-0.010571630973788881,183.56,181.342,182.5507047803873,51.57648890618918,0.01742600703150412,0.7320682609575366,5.400000000000006,1
MSFT,59265,2020-05-27,180.2,181.99,176.6,181.81,173.16,39517146,,7583440247.0,0.0013218042628186932,183.196,181.942,182.43675019878924,48.488612836438946,0.01626886712969615,0.0954586218418012,5.390000000000015,0
MSFT,59265,2020-05-28,180.74,184.15,180.38,181.4,172.77,33831824,,7583440247.0,-0.0022551014795665347,182.344,182.1405,182.27725016820628,45.31914893617024,0.013065331552072233,-0.1438697521324035,3.7700000000000102,1
MSFT,59265,2020-05-29,182.73,184.27,180.41,183.25,174.53,42146720,,7583440247.0,0.010198456449834525,182.308,182.3425,182.42690398848222,47.05397610218375,0.013071308753036042,0.245771436976026,3.8600000000000136,0
MSFT,59265,2020-06-01,182.54,183.0,181.46,182.83,174.13,22668821,,7583440247.0,-0.0022919508867665916,182.17199999999997,182.7555,182.48891875948496,41.36102518780379,0.011463627517258315,-0.4621450732109166,1.539999999999992,1
MSFT,59265,2020-06-02,184.25,185.0,181.35,184.91,176.12,30794585,,7583440247.0,0.011376688727232853,182.84,183.059,182.86139279648728,55.859375000000036,0.010467102669268253,0.3584555191467611,3.6500000000000057,1
