Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Returns,SMA_5,SMA_20,EMA_12,RSI_14,Volatility_20,Volume_Change,High_Low_Range,Target
GOOG,18,2020-05-18,68.09,69.62,67.71,69.2,68.63,36479280,,13652404260.0,0.007864841246723042,68.386,66.4585,67.87622476742352,73.35403726708073,0.027019978939063515,0.06805282047047956,1.9100000000000108,0
GOOG,18,2020-05-19,69.35,69.6,68.67,68.67,68.11,25612980,,13652404260.0,-0.00765895953757223,68.362,66.851,67.99834403397375,57.11743772241996,0.025133848243449684,-0.2978759449199655,0.9299999999999926,1
GOOG,18,2020-05-20,69.48,70.52,69.36,70.34,69.76,33107500,,13652404260.0,0.024319207805446386,68.936,67.21000000000001,68.35859879797779,61.593625498007945,0.024370215265992097,0.2926063269482895,1.1599999999999966,0
GOOG,18,2020-05-21,70.4,70.77,69.67,70.14,69.57,27560400,,13652404260.0,-0.0028433323855558967,69.402,67.52600000000001,68.63266052136582,68.10572687224668,0.024414277382676135,-0.16754813863928109,1.0999999999999943,1
GOOG,18,2020-05-22,69.84,70.64,69.59,70.52,69.94,26188160,,13652404260.0,0.005417735956658065,69.774,67.85350000000001,68.9230204411557,68.30122591943955,0.02440634318601726,-0.049790278805822874,1.0499999999999972,1
GOOG,18,2020-05-26,71.86,72.05,70.61,70.85,70.27,41212860,,13652404260.0,0.004679523539421471,70.104,68.20649999999999,69.21947883482406,65.62203228869892,0.02433489766939864,0.5737211014443169,1.4399999999999977,1
GOOG,18,2020-05-27,70.86,71.09,69.56,70.89,70.31,33722840,,13652404260.0,0.0005645730416372619,70.548,68.667,69.47648209100497,67.02025072324011,0.022628301591612363,-0.1817398743984281,1.5300000000000011,0
GOOG,18,2020-05-28,69.84,72.04,69.8,70.84,70.26,33879520,,13652404260.0,-0.0007053180984624152,70.648,68.85549999999999,69.68625407700421,62.07650273224047,0.012516082112837184,0.004646109283797051,2.240000000000009,1
GOOG,18,2020-05-29,70.85,71.63,70.67,71.45,70.86,36761180,,13652404260.0,0.008610954263128079,70.91,69.0565,69.95759960361895,61.3154960981048,0.012571817598374654,0.08505610469097546,0.9599999999999937,1
GOOG,18,2020-06-01,70.92,71.9,70.9,71.59,71.0,24342800,,13652404260.0,0.0019594121763470973,71.124,69.3345,70.20873812613911,58.5424133811231,0.011273472610538997,-0.33781233355403717,1.0,1
GOOG,18,2020-06-02,71.53,71.98,70.94,71.96,71.37,25562560,,13652404260.0,0.005168319597709026,71.346,69.6155,70.47816302981002,71.50610583446394,0.01127526057996433,0.0501076293606324,1.0400000000000063,0
GOOG,18,2020-06-03,71.92,72.33,71.49,71.82,71.23,25123720,,13652404260.0,-0.0019455252918287869,71.53200000000001,69.82849999999999,70.68459948676232,85.13731825525036,0.010830186916934074,-0.01716729466845257,0.8400000000000034,0
GOOG,18,2020-06-04,71.52,71.95,70.24,70.61,70.03,29685440,,13652404260.0,-0.016847674742411445,71.486,69.99100000000001,70.67312264264504,69.83002832861192,0.011654223190646048,0.1815702451706993,1.710000000000008,1
GOOG,18,2020-06-05,70.66,72.25,70.3,71.92,71.33,34704880,,13652404260.0,0.018552612944342295,71.58,70.15549999999999,70.86494992839195,71.67553191489367,0.011632039298688905,0.16908760658423794,1.9500000000000028,1
GOOG,18,2020-06-08,71.12,72.4,71.12,72.33,71.74,28083560,,13652404260.0,0.00570077864293661,71.728,70.301,71.09034224710088,71.17726657645467,0.011464075747521885,-0.19078930686404905,1.2800000000000011,1
GOOG,18,2020-06-09,72.27,73.4,72.16,72.81,72.21,28184980,,13652404260.0,0.006636250518457176,71.898,70.43350000000001,71.35490497831613,78.20163487738424,0.01134093068761996,0.003611365510640452,1.240000000000009,1
GOOG,18,2020-06-10,72.98,73.71,72.81,73.29,72.69,30503060,,13652404260.0,0.006592501030078246,72.19200000000001,70.6585,71.65261190472903,73.98373983739843,0.010186810943679745,0.08224522422935898,0.8999999999999915,0
GOOG,18,2020-06-11,72.12,72.72,70.1,70.19,69.62,39826640,,13652404260.0,-0.042297721380816,72.10799999999999,70.7945,71.42759468861686,50.27624309392263,0.013601037006824395,0.30566048127630463,2.6200000000000045,1
GOOG,18,2020-06-12,71.42,71.85,69.3,70.66,70.08,38927340,,13652404260.0,0.0066961105570593205,71.85600000000001,70.93699999999998,71.30950319806043,50.76586433260394,0.013625117122352969,-0.022580363294518402,2.549999999999997,1
GOOG,18,2020-06-15,69.54,71.24,69.4,70.99,70.41,30121920,,13652404260.0,0.004670251910557477,71.588,71.0535,71.26034885989728,50.76586433260394,0.0134215894090646,-0.22620143066543974,1.8399999999999892,1
GOOG,18,2020-06-16,72.26,72.75,71.3,72.14,71.55,34232280,,13652404260.0,0.016199464713339884,71.454,71.2005,71.39567980452847,56.09756097560975,0.013746679019309337,0.1364574369761291,1.4500000000000028,1
GOOG,18,2020-06-17,72.36,73.0,71.57,72.56,71.96,30992300,,13652404260.0,0.005822012752980443,71.308,71.395,71.57480598844717,58.097928436911474,0.013568541744755441,-0.09464692389756102,1.4300000000000068,0
GOOG,18,2020-06-18,72.46,72.57,71.35,71.8,71.21,31638320,,13652404260.0,-0.010474090407938341,71.63000000000001,71.46799999999999,71.60945122099376,51.62488393686162,0.012883901644209788,0.02084453235158401,1.2199999999999989,0
