Ticker,SimFinId,Date,Open,High,Low,Close,Adj. Close,Volume,Dividend,Shares Outstanding,Returns,SMA_5,SMA_20,EMA_12,RSI_14,Volatility_20,Volume_Change,High_Low_Range,Target
TSLA,56317,2020-05-18,55.19,55.65,53.59,54.24,54.24,175471530,,2780566575.0,0.018018018018018056,53.553999999999995,51.468,52.81326803275075,57.101865136298414,0.050449918966359746,0.11215307078205994,2.059999999999995,0
TSLA,56317,2020-05-19,54.34,54.8,53.74,53.87,53.87,144547830,,2780566575.0,-0.0068215339233038685,53.536,51.8725,52.97584218155833,51.30344108446298,0.04641392975255779,-0.1762320075513104,1.0599999999999952,1
TSLA,56317,2020-05-20,54.7,55.07,54.12,54.37,54.37,109639065,,2780566575.0,0.00928160386114718,53.864,52.1505,53.19032799978012,56.073752711496724,0.04443817510412227,-0.24150321039063682,0.9500000000000028,1
TSLA,56317,2020-05-21,54.4,55.5,53.07,55.17,55.17,182737860,,2780566575.0,0.014713996689350806,54.186,52.557,53.49489292289088,80.37518037518032,0.043313439096718205,0.6667221669575529,2.4299999999999997,0
TSLA,56317,2020-05-22,54.81,55.45,54.13,54.46,54.46,149812125,,2780566575.0,-0.012869313032445207,54.422000000000004,52.863,53.64337093475382,67.54966887417214,0.04333789293013307,-0.18018014986057074,1.3200000000000003,1
TSLA,56317,2020-05-26,55.63,55.64,54.38,54.59,54.59,121346040,,2780566575.0,0.0023870730811605956,54.492,52.92999999999999,53.78900617556092,66.50390624999997,0.037165729920132236,-0.19001188989208984,1.259999999999998,1
TSLA,56317,2020-05-27,54.72,55.18,52.33,54.68,54.68,173242950,,2780566575.0,0.0016486535995603457,54.653999999999996,53.1005,53.92608214855155,63.39381003201703,0.036012469264477306,0.42767699712326834,2.8500000000000014,0
TSLA,56317,2020-05-28,54.23,54.98,53.45,53.72,53.72,109136610,,2780566575.0,-0.017556693489392816,54.524,53.11800000000001,53.89437720262054,58.46456692913384,0.03520689226463491,-0.37003722229389424,1.529999999999994,1
TSLA,56317,2020-05-29,53.92,55.67,53.61,55.67,55.67,177187335,,2780566575.0,0.036299329858525686,54.624,53.295,54.16754994067892,55.48523206751053,0.03557168140161206,0.6235370972215464,2.0600000000000023,1
TSLA,56317,2020-06-01,57.2,59.93,56.94,59.87,59.87,226279455,,2780566575.0,0.07544458415663735,55.706,53.951,55.04484994980524,71.99391171993906,0.029103201761185443,0.2770633691172115,2.990000000000002,0
